term	idf	df	example
تقدیرک	7.5203	15	بل حزنی فی تأخیرک فیما قضیته فی الواح امرک و صحائف قضائک و تقدیرک.
میگویم	7.5203	15	براستی میگویم آنچه در سبیل الهی وارد شود محبوب جانست و مقصود روان.
الرسول	7.5849	14	قد قطعت بضعة الرّسول و ظننت انّک نصرت دین الله.
آذان	7.9903	9	صاحبان ابصار حدیده و آذان واعیه و قلوب منیره و صدور منشرحه صدق را از کذب بشناسند و تمیز دهند.
أولی	8.0957	8	یشهد بذلک ما نزّل من قلم الوحی تفکّروا یا أولی الأفکار
شمع	8.0957	8	ولکن این تجلّیات انوار صبح هدایت و اشراقات انوار شمس عنایت در حقیقت انسان مستور و محجوبست چنانچه شعله و اشعّه و انوار در حقیقت شمع و سراج مستور است.
سابق	8.2135	7	تصوّر و افکارشان بقرار سابق و سلوک و رفتارشان بر حسب قدیم مطابق.
لمشاهدة	8.2135	7	و فتحت عیون الموجودات لمشاهدة انوار جمالک و ما وقعت عین نفس الی بوارق ظهورات شمس وجهتک و رفعت ایادی المقرّبین بدوام عزّ سلطنتک و بقآء قدس حکومتک و ما بلغت ید احد الی ذیل ردآء سلطان ربوبیّتک.
مریض	8.2135	7	فیا الهی هذه مریض استظلّت فی ظلّ شجرة شفائک و علیل قد هربت الی مدین حراستک و سقیم ارادت تسنیم مواهبک و وجعان سرعت الی منبع سکینتک و عاص توجّهت الی شطر غفرانک.
عفت	8.3470	6	بذیل عفّت تمسّک نمائید و همچنین بحبل امانت و دیانت.
مشتبه	8.3470	6	نفحات وحی بدونش مشتبه نشده و نمیشود.
ینفعنی	8.3470	6	ای ربّ دونک لا ینفعنی و قرب غیرک لا یغنینی.
الرأس	8.5012	5	أبان حضرة ولی أمرالله أنّ منع إطالة شعر الرّأس إلى ما بعد حدّ الآذان – على عکس تحریم حلق الرّأس – خاصّ بالرجال فقط
الستر	8.5012	5	فلمّا جآء الوعد و تمّت المیقات حرّکت ذیل السّتر اقلّ من ان یحصی اذاً فزع من فی جبروت الأمر و الخلق الّا الّذین خلقتهم من نار حبّک و هوآء شوقک و مآء عنایتک و تراب فضلک.
بکوثر	8.5012	5	یا الهی و محبوبی انت تعلم ظمأ فراقی لا یسکن الّا بمآء وصالک و اضطراب قلبی لا یطمئنّ الّا بکوثر لقائک.
ثانیا	8.5012	5	ثانیاً الإشارة إلى تأسیس ولایة أمرالله.
نوشت	8.5012	5	در مجلس اوّل و ثانی بسوٴال و جواب گذشت در مجلس ثالث خواهش تفسیر کوثر کرد و چون باب من غیر تفکّر و تأمّل تفسیری مفصّل در آن محضر بر کوثر نوشت سیّد مذکور شیفته و آشفتهٔ او شد و بی‌ملاحظهٔ عاقبت و اندیشهٔ نتائج این محبّت یکسر به بروجرد نزد پدر سیّد جعفر شهیر به کشفی شتافت و او را دلالت کرد.
یهدی	8.5012	5	انت الّذی یا الهی بأسمائک یبرأ کلّ علیل و یشفی کلّ مریض و یسقی کلّ ظمآن و یستریح کلّ مضطرب و یهدی کلّ مضلّ و یعزّ کلّ ذلیل و یغنی کلّ فقیر و یفقه کلّ جاهل و یتنوّر کلّ ظلمة و یفرح کلّ محزون و یستبرد کلّ محرور و یسترفع کلّ دان.
صالحه	8.6835	4	مثلًا شهریار بزرگواری اگر در مقابل عدوی باغی طاغی صفّ جنگ بیاراید و یا آنکه بجهت جمع شمل هیئت و ممالک مشتّتهٴ پراکنده سمند همّت را در میدان جلادت و شجاعت برانگیزد خلاصه محاربه‌اش مبنی بر نوایای صالحه باشد فی‌الحقیقه این قهر عین لطف و این ظلم جوهر عدل و این جنگ بنیان آشتی است.
فاجر	8.6835	4	أسألک بقدرتک التی بها حفظت اولیائک من کل ذی غفلة و ذی شرارة و کل ظالم عنید و کل فاجر بعید بان تحفظنی بجودک و فضلک.
موصوف	8.6835	4	شهادت میدهم که تو بوصف ممکنات معروف نشوی و باذکار موجودات موصوف نگردی.
والملابس	8.6835	4	من الأحکام الإلهیة فی الإرث أنّ دار السُّکنى والملابس الخاصة حقّ للذکور من الذّرّیّة، فهل هذا الحُکم مقصور على مال الأب أم یسری أیضاً فی مال الأمّ؟
